Model,DC-HMI,DC-Rd,DOA-HMI,DOA-Rd,DT-HMI,DT-Rd,NnA-HMI,NnA-Rd,NnT-HMI,NnT-Rd
FT-Wpr,0.11,0.03,0.1,0.33,0.23,0.47,0.2,0.45,0.23,0.37
NoAug,0.0,0.02,0.17,0.32,0.2,0.45,0.21,0.44,0.16,0.31
SpAug,0.09,0.1,0.15,0.32,0.26,0.47,0.27,0.52,0.23,0.37
SpSpecAug,0.05,0.06,0.12,0.32,0.31,0.49,0.29,0.54,0.19,0.34
Whisper,0.02,0.05,0.09,0.19,0.27,0.4,0.31,0.37,0.07,0.27
